Tests,Model,Accurancy,Precision,Recall,Auc
1,Ours,0.5,0.5,1.0,0.5
1,Sklearn,1.0,1.0,1.0,1.0
3,Ours,0.5,0.5,1.0,0.5
3,Sklearn,0.833,0.75,1.0,0.833
6,Ours,0.5,0.5,1.0,0.5
6,Sklearn,0.833,0.75,1.0,0.833
9,Ours,0.611,0.562,1.0,0.611
9,Sklearn,0.833,0.75,1.0,0.833
11,Ours,0.591,0.55,1.0,0.591
11,Sklearn,0.818,0.733,1.0,0.818
13,Ours,0.577,0.542,1.0,0.577
13,Sklearn,0.808,0.722,1.0,0.808
