Tests,Model,Accurancy,Precision,Recall,Auc
37,Ours,0.811,0.811,0.811,0.811
37,Sklearn,0.797,0.775,0.838,0.797
94,Ours,0.771,0.793,0.734,0.771
94,Sklearn,0.761,0.753,0.777,0.761
188,Ours,0.729,0.75,0.686,0.729
188,Sklearn,0.742,0.738,0.75,0.742
282,Ours,0.723,0.758,0.656,0.723
282,Sklearn,0.746,0.747,0.745,0.746
338,Ours,0.726,0.752,0.675,0.726
338,Sklearn,0.741,0.738,0.749,0.741
376,Ours,0.734,0.759,0.686,0.734
376,Sklearn,0.753,0.745,0.769,0.753
