Tests,Model,Accurancy,Precision,Recall,Auc
3,Ours,0.833,1.0,0.667,0.833
3,Sklearn,0.833,1.0,0.667,0.833
9,Ours,0.889,1.0,0.778,0.889
9,Sklearn,0.889,1.0,0.778,0.889
19,Ours,0.868,1.0,0.737,0.868
19,Sklearn,0.895,1.0,0.789,0.895
28,Ours,0.875,0.957,0.786,0.875
28,Sklearn,0.929,1.0,0.857,0.929
34,Ours,0.853,0.929,0.765,0.853
34,Sklearn,0.926,0.968,0.882,0.926
38,Ours,0.855,0.935,0.763,0.855
38,Sklearn,0.921,0.971,0.868,0.921
