Tests,Model,Accurancy,Precision,Recall,Auc
1,Ours,1.0,1.0,1.0,1.0
1,Sklearn,1.0,1.0,1.0,1.0
4,Ours,1.0,1.0,1.0,1.0
4,Sklearn,1.0,1.0,1.0,1.0
9,Ours,1.0,1.0,1.0,1.0
9,Sklearn,1.0,1.0,1.0,1.0
14,Ours,1.0,1.0,1.0,1.0
14,Sklearn,1.0,1.0,1.0,1.0
17,Ours,1.0,1.0,1.0,1.0
17,Sklearn,1.0,1.0,1.0,1.0
19,Ours,1.0,1.0,1.0,1.0
19,Sklearn,1.0,1.0,1.0,1.0
