Tests,Model,Accurancy,Precision,Recall,Auc
3,Ours,0.833,1.0,0.667,0.833
3,Sklearn,0.833,1.0,0.667,0.833
9,Ours,0.833,0.8,0.889,0.833
9,Sklearn,0.833,1.0,0.667,0.833
19,Ours,0.921,0.9,0.947,0.921
19,Sklearn,0.895,1.0,0.789,0.895
28,Ours,0.911,0.871,0.964,0.911
28,Sklearn,0.911,1.0,0.821,0.911
34,Ours,0.912,0.868,0.971,0.912
34,Sklearn,0.926,1.0,0.853,0.926
38,Ours,0.908,0.86,0.974,0.908
38,Sklearn,0.921,1.0,0.842,0.921
