Tests,Model,Accurancy,Precision,Recall,Auc
3,Ours,0.833,1.0,0.667,0.833
3,Sklearn,0.833,1.0,0.667,0.833
9,Ours,0.889,1.0,0.778,0.889
9,Sklearn,0.944,1.0,0.889,0.944
19,Ours,0.895,1.0,0.789,0.895
19,Sklearn,0.868,1.0,0.737,0.868
28,Ours,0.893,1.0,0.786,0.893
28,Sklearn,0.911,1.0,0.821,0.911
34,Ours,0.897,1.0,0.794,0.897
34,Sklearn,0.912,1.0,0.824,0.912
38,Ours,0.882,1.0,0.763,0.882
38,Sklearn,0.908,1.0,0.816,0.908
