Tests,Model,Accurancy,Precision,Recall,Auc
1,Ours,0.5,0.5,1.0,0.5
1,Sklearn,1.0,1.0,1.0,1.0
4,Ours,0.75,0.667,1.0,0.75
4,Sklearn,0.875,0.8,1.0,0.875
9,Ours,0.889,0.818,1.0,0.889
9,Sklearn,0.944,0.9,1.0,0.944
14,Ours,0.893,0.824,1.0,0.893
14,Sklearn,0.893,0.824,1.0,0.893
17,Ours,0.912,0.85,1.0,0.912
17,Sklearn,0.912,0.85,1.0,0.912
19,Ours,0.895,0.826,1.0,0.895
19,Sklearn,0.895,0.826,1.0,0.895
