Tests,Model,Accurancy,Precision,Recall,Auc
1,Ours,0.5,0.5,1.0,0.5
1,Sklearn,1.0,1.0,1.0,1.0
4,Ours,0.875,0.8,1.0,0.875
4,Sklearn,1.0,1.0,1.0,1.0
9,Ours,0.944,0.9,1.0,0.944
9,Sklearn,1.0,1.0,1.0,1.0
14,Ours,0.929,0.875,1.0,0.929
14,Sklearn,1.0,1.0,1.0,1.0
17,Ours,0.941,0.895,1.0,0.941
17,Sklearn,1.0,1.0,1.0,1.0
19,Ours,0.921,0.864,1.0,0.921
19,Sklearn,0.974,0.95,1.0,0.974
