Tests,Model,Accurancy,Precision,Recall,Auc
37,Ours,0.878,0.85,0.919,0.878
37,Sklearn,0.851,0.825,0.892,0.851
94,Ours,0.84,0.808,0.894,0.84
94,Sklearn,0.851,0.824,0.894,0.851
188,Ours,0.811,0.767,0.894,0.811
188,Sklearn,0.819,0.775,0.899,0.819
282,Ours,0.81,0.778,0.869,0.81
282,Sklearn,0.817,0.786,0.872,0.817
338,Ours,0.817,0.786,0.87,0.817
338,Sklearn,0.818,0.785,0.876,0.818
376,Ours,0.82,0.79,0.872,0.82
376,Sklearn,0.822,0.787,0.883,0.822
