Tests,Model,Accurancy,Precision,Recall,Auc
37,Ours,0.73,1.0,0.459,0.73
37,Sklearn,1.0,1.0,1.0,1.0
94,Ours,0.707,1.0,0.415,0.707
94,Sklearn,1.0,1.0,1.0,1.0
188,Ours,0.702,1.0,0.404,0.702
188,Sklearn,1.0,1.0,1.0,1.0
282,Ours,0.709,1.0,0.418,0.709
282,Sklearn,1.0,1.0,1.0,1.0
338,Ours,0.709,1.0,0.417,0.709
338,Sklearn,1.0,1.0,1.0,1.0
376,Ours,0.71,1.0,0.42,0.71
376,Sklearn,1.0,1.0,1.0,1.0
